"#","Afirmación","Sujeto","Predicado","Objeto","Atribución","Fuente","Aceptación","Fuerza","Motivo","Resolución","Vigencia"
"C-694","«Acritarco» designa una categoría artificial de microfósiles orgánicos de afinidad biológica incierta y no un clado.","acritarco","clasificado_como_por","taxón de forma artificial","expresa","S152 §2","no evaluado","media","La definición es operacional y se usa de forma estable en paleontología precámbrica.","resuelta","vigente"
"C-695","La ornamentación compleja, los procesos huecos, las aberturas de excistamiento y una pared multicapa aumentan la probabilidad de afinidad eucariota, pero ningún carácter aislado es universalmente diagnóstico.","microfósil de pared orgánica","posee_rasgo","conjunto de indicadores eucariotas no exclusivos","expresa","S151 resultados; S152 §2","no evaluado","media","Los criterios se apoyan en comparación con organismos actuales y en ultraestructura, pero existen convergencias y pérdida de caracteres.","parcialmente resuelta","vigente"
"C-696","El tamaño de una vesícula por sí solo no permite asignarla con seguridad a Eukaryota.","tamaño de vesícula","no_diagnostica_por_si_solo*","Eukaryota","expresa","S152 §2","no evaluado","media","Procariotas y eucariotas solapan sus tamaños y la preservación modifica dimensiones aparentes.","resuelta","vigente"
"C-697","La microscopía electrónica de transmisión puede revelar capas de pared y organización submicrométrica no visibles con microscopía óptica.","microscopía electrónica de transmisión","observa_rasgo*","ultraestructura de pared","expresa","S151 métodos y figs. 2–7","no evaluado","media","Es observación instrumental directa de secciones ultrafinas.","resuelta","vigente"
"C-698","La química orgánica de la pared puede apoyar una afinidad biológica, pero la alteración térmica y la diagénesis limitan su especificidad.","química de pared fósil","respaldado_por","espectroscopía con limitaciones tafonómicas","expresa","S151 discusión; S161 métodos","no evaluado","baja","Las señales son medibles, pero varias macromoléculas convergen durante la maduración térmica.","parcialmente resuelta","vigente"
"C-699","La sucesión del Grupo Roper está constreñida por edades U–Pb y Re–Os entre aproximadamente 1492 ± 4 Ma y 1361 ± 21 Ma.","Grupo Roper","tiene_edad_estimada","1492 ± 4 Ma a 1361 ± 21 Ma","expresa","S150 §Geological setting","no evaluado","alta","Varias dataciones radiométricas bracketan unidades de la sucesión; no datan cada microfósil individual. La auditoría independiente no localizó en esta fila apoyo y oposición con localizadores; por prudencia, la aceptación queda no evaluada.","parcialmente resuelta","vigente"
"C-700","Tappania plana del Grupo Roper presenta procesos ramificados y morfologías que fueron interpretadas como crecimiento eucariota complejo.","Tappania plana","posee_rasgo","procesos ramificados y crecimiento complejo","expresa","S150 descripción sistemática (sin localizar con mayor precisión); S152 fig. 2","no evaluado","baja","La morfología es consistente con eucariotas, pero no identifica un grupo corona concreto.","parcialmente resuelta","vigente"
"C-701","Valeria lophostriata posee estriaciones concéntricas regulares en la pared de la vesícula.","Valeria lophostriata","posee_rasgo","estriaciones concéntricas regulares","expresa","S150 descripción sistemática (sin localizar con mayor precisión); S153 fig. 2","no evaluado","alta","El carácter se observa directamente en especímenes de distintas localidades.","resuelta","vigente"
"C-702","Las estriaciones de Valeria lophostriata apoyan una afinidad eucariota, pero no resuelven su posición dentro del grupo corona.","Valeria lophostriata","respaldado_por","morfología compatible con Eukaryota","expresa","S150 discusión","no evaluado","baja","Un carácter de pared no proporciona una sinapomorfía de supergrupo. La auditoría independiente no localizó en esta fila apoyo y oposición con localizadores; por prudencia, la aceptación queda no evaluada.","parcialmente resuelta","vigente"
"C-703","Dictyosphaera y Shuiyousphaeridium del Grupo Ruyang presentan ornamentación y organización de pared usadas para proponer afinidad eucariota.","Dictyosphaera y Shuiyousphaeridium","posee_rasgo","ornamentación compleja de pared","expresa","S151 resultados; S152 §2","no evaluado","media","La evidencia combina morfología y ultraestructura, pero la edad y la afinidad de nivel bajo conservan incertidumbre.","parcialmente resuelta","vigente"
